"localidade","cases","death","date"
"China","80,928","3,245","2020/3/19 17:7"
"Italy","35,713","2,978","2020/3/19 17:7"
"Iran","18,407","1,284","2020/3/19 17:7"
"Spain","17,395","803","2020/3/19 17:7"
"Germany","14,544","43","2020/3/19 17:7"
"USA","11,329","161","2020/3/19 17:7"
"France","9,134","264","2020/3/19 17:7"
"S. Korea","8,565","91","2020/3/19 17:7"
"Switzerland","3,939","36","2020/3/19 17:7"
"UK","2,692","137","2020/3/19 17:7"
"Netherlands","2,460","76","2020/3/19 17:7"
"Austria","2,013","6","2020/3/19 17:7"
"Belgium","1,795","21","2020/3/19 17:7"
"Norway","1,748","7","2020/3/19 17:7"
"Sweden","1,439","11","2020/3/19 17:7"
"Denmark","1,151","6","2020/3/19 17:7"
"Japan","923","32","2020/3/19 17:7"
"Malaysia","900","2","2020/3/19 17:7"
"Portugal","785","3","2020/3/19 17:7"
"Canada","770","9","2020/3/19 17:7"
"Diamond Princess","712","7","2020/3/19 17:7"
"Australia","709","6","2020/3/19 17:7"
"Czechia","631","","2020/3/19 17:7"
"Brazil","534","6","2020/3/19 17:7"
"Israel","529","","2020/3/19 17:7"
"Greece","464","6","2020/3/19 17:7"
"Qatar","452","","2020/3/19 17:7"
"Pakistan","448","2","2020/3/19 17:7"
"Finland","400","","2020/3/19 17:7"
"Ireland","366","2","2020/3/19 17:7"
"Singapore","345","","2020/3/19 17:7"
"Chile","342","","2020/3/19 17:7"
"Luxembourg","335","4","2020/3/19 17:7"
"Iceland","330","","2020/3/19 17:7"
"Poland","325","5","2020/3/19 17:7"
"Slovenia","319","1","2020/3/19 17:7"
"Indonesia","309","25","2020/3/19 17:7"
"Bahrain","277","1","2020/3/19 17:7"
"Romania","277","","2020/3/19 17:7"
"Thailand","272","1","2020/3/19 17:7"
"Estonia","267","","2020/3/19 17:7"
"Saudi Arabia","238","","2020/3/19 17:7"
"Philippines","217","17","2020/3/19 17:7"
"Egypt","210","6","2020/3/19 17:7"
"Hong Kong","208","4","2020/3/19 17:7"
"Ecuador","199","3","2020/3/19 17:7"
"Russia","199","1","2020/3/19 17:7"
"Turkey","192","3","2020/3/19 17:7"
"India","184","4","2020/3/19 17:7"
"Iraq","177","12","2020/3/19 17:7"
"Peru","155","","2020/3/19 17:7"
"South Africa","150","","2020/3/19 17:7"
"Lebanon","149","4","2020/3/19 17:7"
"Kuwait","148","","2020/3/19 17:7"
"San Marino","140","14","2020/3/19 17:7"
"UAE","140","","2020/3/19 17:7"
"Slovakia","124","","2020/3/19 17:7"
"Armenia","122","","2020/3/19 17:7"
"Mexico","118","1","2020/3/19 17:7"
"Panama","109","1","2020/3/19 17:7"
"Taiwan","108","1","2020/3/19 17:7"
"Colombia","108","","2020/3/19 17:7"
"Bulgaria","105","3","2020/3/19 17:7"
"Croatia","105","1","2020/3/19 17:7"
"Argentina","97","3","2020/3/19 17:7"
"Serbia","97","","2020/3/19 17:7"
"Algeria","87","9","2020/3/19 17:7"
"Latvia","86","","2020/3/19 17:7"
"Uruguay","79","","2020/3/19 17:7"
"Vietnam","76","","2020/3/19 17:7"
"Hungary","73","1","2020/3/19 17:7"
"Brunei","73","","2020/3/19 17:7"
"Faeroe Islands","72","","2020/3/19 17:7"
"Costa Rica","69","1","2020/3/19 17:7"
"Cyprus","67","","2020/3/19 17:7"
"Albania","64","2","2020/3/19 17:7"
"Bosnia and Herzegovina","63","","2020/3/19 17:7"
"Morocco","61","2","2020/3/19 17:7"
"Sri Lanka","60","","2020/3/19 17:7"
"Jordan","56","","2020/3/19 17:7"
"Andorra","53","","2020/3/19 17:7"
"Malta","53","","2020/3/19 17:7"
"Belarus","51","","2020/3/19 17:7"
"Moldova","49","1","2020/3/19 17:7"
"North Macedonia","49","","2020/3/19 17:7"
"Palestine","47","","2020/3/19 17:7"
"Azerbaijan","44","1","2020/3/19 17:7"
"Kazakhstan","44","","2020/3/19 17:7"
"Georgia","40","","2020/3/19 17:7"
"Oman","39","","2020/3/19 17:7"
"Tunisia","39","","2020/3/19 17:7"
"Cambodia","37","","2020/3/19 17:7"
"Lithuania","36","","2020/3/19 17:7"
"Senegal","36","","2020/3/19 17:7"
"Venezuela","36","","2020/3/19 17:7"
"Dominican Republic","34","2","2020/3/19 17:7"
"Burkina Faso","33","1","2020/3/19 17:7"
"Guadeloupe","33","","2020/3/19 17:7"
"New Zealand","28","","2020/3/19 17:7"
"Liechtenstein","28","","2020/3/19 17:7"
"Martinique","23","1","2020/3/19 17:7"
"Uzbekistan","23","","2020/3/19 17:7"
"Afghanistan","22","","2020/3/19 17:7"
"Réunion","19","","2020/3/19 17:7"
"Ukraine","18","2","2020/3/19 17:7"
"Bangladesh","18","1","2020/3/19 17:7"
"Macao","17","","2020/3/19 17:7"
"Jamaica","15","1","2020/3/19 17:7"
"Bolivia","15","","2020/3/19 17:7"
"French Guiana","15","","2020/3/19 17:7"
"DRC","14","","2020/3/19 17:7"
"Cameroon","13","","2020/3/19 17:7"
"Maldives","13","","2020/3/19 17:7"
"Nigeria","12","","2020/3/19 17:7"
"Guam","12","","2020/3/19 17:7"
"Honduras","12","","2020/3/19 17:7"
"Cuba","11","1","2020/3/19 17:7"
"Ghana","11","","2020/3/19 17:7"
"Paraguay","11","","2020/3/19 17:7"
"Rwanda","11","","2020/3/19 17:7"
"Monaco","10","","2020/3/19 17:7"
"Montenegro","10","","2020/3/19 17:7"
"Guatemala","9","1","2020/3/19 17:7"
"Ivory Coast","9","","2020/3/19 17:7"
"Trinidad and Tobago","9","","2020/3/19 17:7"
"Gibraltar","8","","2020/3/19 17:7"
"Channel Islands","7","","2020/3/19 17:7"
"Ethiopia","7","","2020/3/19 17:7"
"Kenya","7","","2020/3/19 17:7"
"French Polynesia","6","","2020/3/19 17:7"
"Mongolia","6","","2020/3/19 17:7"
"Puerto Rico","6","","2020/3/19 17:7"
"Seychelles","6","","2020/3/19 17:7"
"Tanzania","6","","2020/3/19 17:7"
"Guyana","5","1","2020/3/19 17:7"
"Aruba","5","","2020/3/19 17:7"
"Equatorial Guinea","4","","2020/3/19 17:7"
"Curaçao","3","1","2020/3/19 17:7"
"Bahamas","3","","2020/3/19 17:7"
